ranking,symbol,score,average_close,average_volume,recommand_buy_price,recommand_sell_price
1,NVDA,2,186.89142910038083,50713149.79792746,168.20228619034276,205.58057201041893
2,META,2,156.96953367875648,34204462.533678755,141.27258031088084,172.66648704663214
3,MRK,2,101.39937431670985,8498336.461139897,91.25943688503887,111.53931174838085
4,ABT,2,104.27067155376064,5259832.917098446,93.84360439838457,114.69773870913671
5,CMCSA,2,35.48769021795389,22943137.549222797,31.938921196158503,39.036459239749284
6,HON,2,196.339950620185,2929983.9430051814,176.7059555581665,215.97394568220352
7,MDT,2,82.56176914838134,6462939.300518135,74.30559223354321,90.81794606321948
8,BKNG,2,2166.669274611399,350445.4352331606,1950.002347150259,2383.336202072539
9,AAPL,1,150.9600503580404,74935113.72020726,135.86404532223636,166.05605539384445
10,MSFT,1,256.25725620941813,29181509.575129535,230.63153058847632,281.88298183036
11,LLY,1,341.620973233715,3047579.274611399,307.4588759103435,375.78307055708655
12,PEP,1,175.57516653880003,4618353.849740933,158.01764988492005,193.13268319268005
13,QCOM,1,122.69975605804714,7637250.834196892,110.42978045224243,134.96973166385186
14,SBUX,1,96.93647323434817,6849086.331606218,87.24282591091335,106.630120557783
15,AMAT,1,104.18193139566372,7086343.088082901,93.76373825609735,114.60012453523011
16,AMZN,0,105.92981865284975,68391029.41450778,95.33683678756478,116.52280051813473
17,TSLA,0,206.0406303972368,121544851.02072538,185.43656735751313,226.64469343696052
18,JPM,0,126.8563289421508,12486295.689119171,114.17069604793572,139.54196183636589
19,PG,0,141.22979359386633,6541133.642487046,127.1068142344797,155.35277295325298
20,MA,0,344.7438569998182,2738240.89119171,310.26947129983637,379.21824269980004
